ds_num,ds_size,model,acc,b_acc,top3_acc,top5_acc
2,18,swin_b,0.8767123287671232,0.8940740740740741,0.9931506849315068,1.0
2,18,vgg19,0.8356164383561644,0.8451851851851852,0.9726027397260274,1.0
2,18,vit_b_16,0.8356164383561644,0.8511111111111112,0.952054794520548,1.0
2,32,beit_b_16,0.8203125,0.8096613898084486,0.9765625,1.0
2,32,convnext_b,0.90234375,0.8843137254901962,0.98828125,1.0
2,32,deit_b_16,0.88671875,0.873891223155929,0.98828125,0.99609375
2,32,efficientnetv2_m,0.78125,0.7836394406247348,0.9765625,0.99609375
2,32,resnet50,0.8828125,0.8554687278951985,0.9921875,1.0
2,32,swin_b,0.86328125,0.8665032679738562,0.9921875,1.0
2,32,vgg19,0.8515625,0.8592942732648615,0.98046875,0.99609375
2,32,vit_b_16,0.86328125,0.862284080298786,0.99609375,1.0
2,56,beit_b_16,0.8281938325991189,0.8236673305943255,0.9537444933920705,0.9955947136563876
2,56,convnext_b,0.8898678414096917,0.8744999902003298,0.9911894273127754,0.9955947136563876
2,56,deit_b_16,0.8656387665198237,0.8409683299156983,0.9801762114537445,0.9911894273127754
2,56,efficientnetv2_m,0.8105726872246696,0.8140045556217034,0.9669603524229075,0.986784140969163
2,56,resnet50,0.8458149779735683,0.8221830419156395,0.9801762114537445,0.9933920704845814
2,56,swin_b,0.8920704845814978,0.8758237541556727,0.9911894273127754,0.9977973568281938
2,56,vgg19,0.8171806167400881,0.8138076434977964,0.973568281938326,0.9977973568281938
2,56,vit_b_16,0.8634361233480177,0.85640646092259,0.986784140969163,0.9955947136563876
2,100,beit_b_16,0.8619824341279799,0.8517799836489208,0.9849435382685069,0.9974905897114178
2,100,convnext_b,0.903387703889586,0.8972332623168536,0.9974905897114178,0.998745294855709
2,100,deit_b_16,0.9021329987452948,0.8923982194169173,0.9887076537013801,0.9974905897114178
2,100,efficientnetv2_m,0.8368883312421581,0.8373814173144598,0.9711417816813049,0.9937264742785445
2,100,resnet50,0.8808030112923463,0.8747027516467037,0.9874529485570891,0.998745294855709
2,100,swin_b,0.9222082810539524,0.918525555891913,0.9949811794228356,1.0
2,100,vgg19,0.8519447929736512,0.8576165458150796,0.986198243412798,0.9974905897114178
2,100,vit_b_16,0.8808030112923463,0.8701629979132559,0.9899623588456713,0.9974905897114178
3,10,beit_b_16,0.7108433734939759,0.6722222222222222,0.927710843373494,0.963855421686747
3,10,convnext_b,0.8192771084337349,0.8044444444444444,0.9759036144578314,0.9879518072289156
3,10,deit_b_16,0.7951807228915663,0.7555555555555556,0.963855421686747,0.9759036144578314
3,10,efficientnetv2_m,0.7349397590361446,0.7466666666666666,0.963855421686747,0.963855421686747
3,10,resnet50,0.8192771084337349,0.7555555555555554,0.9879518072289156,0.9879518072289156
3,10,swin_b,0.8554216867469879,0.8288888888888888,0.9879518072289156,1.0
3,10,vgg19,0.7710843373493976,0.7799999999999999,0.963855421686747,0.9879518072289156
3,10,vit_b_16,0.7349397590361446,0.7255555555555555,0.9879518072289156,0.9879518072289156
3,18,beit_b_16,0.7123287671232876,0.7061375661375661,0.9726027397260274,0.9863013698630136
3,18,convnext_b,0.8493150684931506,0.8464021164021164,0.9794520547945206,0.9931506849315068
3,18,deit_b_16,0.8424657534246576,0.8382539682539681,0.9794520547945206,1.0
3,18,efficientnetv2_m,0.7397260273972602,0.7298412698412698,0.9452054794520548,0.9863013698630136
3,18,resnet50,0.7945205479452054,0.7882539682539683,0.958904109589041,0.9794520547945206
3,18,swin_b,0.8493150684931506,0.857037037037037,0.9931506849315068,1.0
3,18,vgg19,0.7397260273972602,0.7359259259259259,0.9315068493150684,0.9794520547945206
3,18,vit_b_16,0.773972602739726,0.7801058201058202,0.9931506849315068,0.9931506849315068
3,32,beit_b_16,0.80078125,0.7677269897858133,0.953125,0.98046875
3,32,convnext_b,0.8828125,0.8587892227598111,0.984375,0.9921875
3,32,deit_b_16,0.88671875,0.8645490266813797,0.9921875,1.0
3,32,efficientnetv2_m,0.765625,0.7659639108168521,0.94921875,0.984375
3,32,resnet50,0.85546875,0.846015653736242,0.98046875,0.98828125
3,32,swin_b,0.8828125,0.8722015321280028,0.9921875,1.0
3,32,vgg19,0.82421875,0.8196416192739723,0.9765625,0.9921875
3,32,vit_b_16,0.859375,0.8534515321280028,0.984375,0.99609375
3,56,beit_b_16,0.7929515418502202,0.7622049809273919,0.9625550660792952,0.986784140969163
3,56,convnext_b,0.8590308370044053,0.8231031268297823,0.9779735682819384,0.9911894273127754
3,56,deit_b_16,0.8436123348017621,0.8056786945369289,0.9801762114537445,0.986784140969163
3,56,efficientnetv2_m,0.7731277533039648,0.7592667457990037,0.9493392070484582,0.9779735682819384
3,56,resnet50,0.8303964757709251,0.8027407717730298,0.9757709251101322,0.9933920704845814
3,56,swin_b,0.8590308370044053,0.8386471004000716,0.9823788546255506,0.9933920704845814
3,56,vgg19,0.7973568281938326,0.7817563030254032,0.973568281938326,0.986784140969163
3,56,vit_b_16,0.8281938325991189,0.8138984864409313,0.973568281938326,0.9911894273127754
3,100,beit_b_16,0.875784190715182,0.8586230228783672,0.9774153074027604,0.9937264742785445
3,100,convnext_b,0.9297365119196989,0.9166458736246441,0.9962358845671268,0.998745294855709
3,100,deit_b_16,0.904642409033877,0.8896748958992803,0.9899623588456713,0.998745294855709
3,100,efficientnetv2_m,0.8469259723964868,0.850111098371013,0.973651191969887,0.9924717691342535
3,100,resnet50,0.8946047678795483,0.878932931137708,0.9912170639899623,0.9974905897114178
3,100,swin_b,0.9247176913425345,0.9195699887392353,0.9949811794228356,1.0
3,100,vgg19,0.8557089084065245,0.8625021676192249,0.9899623588456713,0.998745294855709
3,100,vit_b_16,0.8870765370138017,0.8777993023570203,0.9937264742785445,0.9974905897114178
4,10,beit_b_16,0.7108433734939759,0.6588888888888889,0.9156626506024096,1.0
4,10,convnext_b,0.8433734939759037,0.8644444444444445,0.9879518072289156,1.0
4,10,deit_b_16,0.8433734939759037,0.8466666666666666,0.9879518072289156,1.0
4,10,efficientnetv2_m,0.7710843373493976,0.8,0.963855421686747,1.0
4,10,resnet50,0.7831325301204819,0.788888888888889,0.9879518072289156,1.0
4,10,swin_b,0.8554216867469879,0.8444444444444446,0.9879518072289156,1.0
4,10,vgg19,0.7951807228915663,0.8288888888888889,0.963855421686747,1.0
4,10,vit_b_16,0.8192771084337349,0.8311111111111111,0.9759036144578314,1.0
4,18,beit_b_16,0.7123287671232876,0.6682539682539682,0.9383561643835616,0.9931506849315068
4,18,convnext_b,0.8561643835616438,0.8475132275132274,0.9794520547945206,0.9931506849315068
4,18,deit_b_16,0.8287671232876712,0.7942857142857143,0.9794520547945206,1.0
4,18,efficientnetv2_m,0.7397260273972602,0.7271428571428572,0.9657534246575342,0.9863013698630136
4,18,resnet50,0.821917808219178,0.8086243386243387,0.9657534246575342,0.9794520547945206
4,18,swin_b,0.815068493150685,0.8223280423280424,0.9726027397260274,1.0
4,18,vgg19,0.7671232876712328,0.7765079365079366,0.9383561643835616,0.9726027397260274
4,18,vit_b_16,0.8082191780821918,0.8195767195767196,0.9726027397260274,1.0
4,32,beit_b_16,0.8359375,0.8031208442973149,0.98046875,0.99609375
4,32,convnext_b,0.8828125,0.8583411142234673,1.0,1.0
4,32,deit_b_16,0.87109375,0.8479380641145349,1.0,1.0
4,32,efficientnetv2_m,0.76171875,0.7716094771241829,0.96875,0.9921875
4,32,resnet50,0.83984375,0.8076408341114224,0.98828125,0.9921875
4,32,swin_b,0.90625,0.8889012675777382,0.99609375,1.0
4,32,vgg19,0.80859375,0.8027240189004895,0.984375,0.99609375
4,32,vit_b_16,0.84375,0.8446883046147753,0.984375,1.0
4,56,beit_b_16,0.8502202643171806,0.856551814531441,0.9823788546255506,0.9889867841409692
4,56,convnext_b,0.9030837004405287,0.9024265575963368,0.9911894273127754,0.9955947136563876
4,56,deit_b_16,0.8766519823788547,0.8659249541252937,0.9911894273127754,0.9933920704845814
4,56,efficientnetv2_m,0.8193832599118943,0.8221137398726533,0.9647577092511013,0.986784140969163
4,56,resnet50,0.8744493392070485,0.8783246361259942,0.9845814977973568,0.9911894273127754
4,56,swin_b,0.8920704845814978,0.898179178395647,0.9933920704845814,0.9977973568281938
4,56,vgg19,0.8436123348017621,0.8455705061774671,0.9757709251101322,0.9955947136563876
4,56,vit_b_16,0.8590308370044053,0.8712792673276544,0.9889867841409692,0.9933920704845814
4,100,beit_b_16,0.8557089084065245,0.840168275626846,0.9824341279799247,0.9962358845671268
4,100,convnext_b,0.9134253450439147,0.8974321558882963,0.998745294855709,1.0
4,100,deit_b_16,0.8946047678795483,0.8822406415063055,0.9937264742785445,1.0
4,100,efficientnetv2_m,0.8180677540777918,0.8224937044336507,0.9786700125470514,0.9974905897114178
4,100,resnet50,0.8983688833124216,0.8907180690541782,0.9949811794228356,0.998745294855709
4,100,swin_b,0.9159347553324969,0.9021344120690763,0.9962358845671268,1.0
4,100,vgg19,0.8657465495608532,0.8711878727695959,0.9912170639899623,1.0
4,100,vit_b_16,0.8795483061480552,0.8701169771748908,0.9924717691342535,1.0
